288	7a7QHFZKEe2AS6oFZSUpaA==	5	mini template	minimoog template.performance			User;None;		Bill Barton			1666911533	1721259476	1721259476	0		0	Template	0	0	0	0		0	0	Mpx		1
1237	ewiQPPezEemfhMpJQ5kbAA==	5	Mono/Poly Template	mono-poly template.performance			User;None;		Bill Barton			1678737277	1721259476	1721259476	0		0	Template	0	0	0	0		0	0	Mpx		1
1247	fXUmNMjcEe2YxipOhPmlog==	5	 Init Performance	mono-poly template.performance			User;None;		Korg			1679508484	1721259476	1721259476	0		0	Template	0	0	0	0		0	0	Mpx		1
1282	zM//mv6TEemB3B7++jdE5w==	5	MS-20 Template	MS-20 sandbox.performance			User;None;		Bill Barton			1680673919	1721259476	1721259476	0		0	Template	0	0	0	0		0	0	Mpx		1
1283	23LxdvgaEemJAqp/xWscag==	5	Odyssey Template				User;None;		Bill Barton			1682531860	1721259477	1721259477	0		0	Template	0	0	0	0		0	0	Mpx		1
2057	S29yZwAAAAAACgAAAgAAAA==	8	Kirnberger	002_Kirnberger.scale			Western;None;		Korg			1697580691	1697580748	1697580748	0		0	Core Library	2	0	0	0	"Kirnberger III. A ""well-tempered"" tuning from the Baroque period."	0	0			1
2058	S29yZwAAAAAACgAABgAAAA==	8	Pure Minor	006_Pure Minor.scale			Modern;None;		Korg			1697580540	1697580540	1697580540	0		0	Core Library	6	0	0	0	"Just Intonation optimized for minor keys. This uses the ""Octave Scale, A = Master Tune"" type, so it maintains the A4 tuning (e.g. A=440 Hz) as set by the Master Tune parameter. To compensate, the root note of the selected Key may shift from its equal-tempered pitch."	0	0			1
2059	S29yZwAAAAAACgAAAQAAAA==	8	Arabic	001_Arabic.scale			Eastern;None;		Korg			1697580564	1697581074	1697581074	0		0	Core Library	1	0	0	0	Major 3rd and major 7th provide quarter-tone intervals.	0	0			1
2060	S29yZwAAAAAACgAAAAAAAA==	8	Equal Temperament	000_Equal Temperament.scale			Western;None;		Korg			1697580660	1697580660	1697580660	0		0	Core Library	0	0	0	0	Standard Western tuning with equally-spaced semitones.	0	0			1
2061	S29yZwAAAAAACgAABAAAAA==	8	Pelog	004_Pelog.scale			Eastern;None;		Korg			1697580809	1697580809	1697580809	0		0	Core Library	4	0	0	0	This Indonesian gamelan scale uses seven notes per octave. When Key is set to C, use the white keys. The black keys will play the equal tempered pitches.	0	0			1
2062	S29yZwAAAAAACgAACwAAAA==	8	Slendro	011_Slendro.scale			Eastern;None;		Korg			1697580599	1697580599	1697580599	0		0	Core Library	11	0	0	0	This Indonesian gamelan scale has five notes per octave. When Key is set to C, use C, D, F, G and A. Other notes will play the normal equal-tempered pitches.	0	0			1
2063	S29yZwAAAAAACgAADAAAAA==	8	Stretch				Modern;None;		Korg			1695338595	1697580639	1697580639	0		0	Core Library	12	0	0	0	In this 128-note tuning for acoustic pianos, notes below the middle of the keyboard are progressively more flat, and notes above the middle are progressively more sharp.	0	0			1
2064	S29yZwAAAAAACgAABwAAAA==	8	Pythagoras	007_Pythagoras.scale			Western;None;		Korg			1697580767	1697584836	1697584836	0		0	Core Library	7	0	0	0	Especially effective for melodies, this produces 11 completely pure fifths, at the expense of other intervals - thirds in particular. To maintain the tuning of the octave, the final fifth from sharp four to sharp root is also quite flat.	0	0			1
2065	S29yZwAAAAAACgAADgAAAA==	8	Werkmeister	014_Werkmeister.scale			Western;None;		Korg			1697580741	1697580741	1697580741	0		0	Core Library	14	0	0	0	"Werkmeister III. A ""well-tempered"" tuning from the Baroque period."	0	0			1
2066	S29yZwAAAAAACgAABQAAAA==	8	Pure Major	005_Pure Major.scale			Modern;None;		Korg			1697580321	1697580533	1697580533	0		0	Core Library	5	0	0	0	"Just Intonation optimized for major keys. This uses the ""Octave Scale, A = Master Tune"" type, so it maintains the A4 tuning (e.g. A=440 Hz) as set by the Master Tune parameter. To compensate, the root note of the selected Key may shift from its equal-tempered pitch."	0	0			1
2072	+jzRwBJSEe6t5ipOhPmlog==	5	Pro (n) Template	mono-poly template.performance			User;None;		Korg			1687585808	1721259477	1721259477	0		0	Template	0	0	0	0		0	0	Mpx		1
2843	HC40pFaMEe6fuipOhPmlog==	8	Init Octave Scale	001_Arabic.scale			User;None;		Korg			1695087055	1697580789	1697580789	0		0	Core Library	1	0	0	0	Duplicate this to start an octave scale from scratch.	0	0			1
2844	MCtGmlaMEe6XRypOhPmlog==	8	Init 128-Note Scale	001_Arabic.scale			User;None;		Korg			1695087055	1697580778	1697580778	0		0	Core Library	1	0	0	0	Duplicate this to start a 128-note scale from scratch.	0	0			1
2854	bYk5bmxzEe62PSpOhPmlog==	8	Vallotti & Young	001_Arabic.scale			Western;None;		Korg			1695087055	1697587481	1697587481	0		0	Core Library	1	0	0	0	aka Tartini-Vallotti. 18th-century circulating temperament with five pure 5ths, six 5ths tempered by 1/6 syntonic comma, and a final 5th tempered by a schisma.	0	0			1
2855	WVccjmx1Ee6CmSpOhPmlog==	8	Kellner 1/5 Comma	001_Arabic.scale			Western;None;		Korg			1695087055	1697580071	1697580071	0		0	Core Library	1	0	0	0	"Bach tuning with seven pure fifths and five ""well-tempered"" fifths each reduced by 1/5 Pythagorean comma."	0	0			1
2856	sYeT9mx2Ee6SxypOhPmlog==	8	Schlesinger Dorian 22 	001_Arabic.scale			Western;None;		Korg			1695087055	1697497921	1697497921	0		0	Core Library	1	0	0	0		0	0			1
2857	duOatGx3Ee6TGCpOhPmlog==	8	Indian Vina 3	001_Arabic.scale			Eastern;None;		Korg			1695087055	1697580175	1697580175	0		0	Core Library	1	0	0	0	Octave-repeating Vina tuning	0	0			1
2858	ACjQKGx4Ee6yvipOhPmlog==	8	Chinese, 4th Century	001_Arabic.scale			Eastern;None;		Korg			1695087055	1697497913	1697497913	0		0	Core Library	1	0	0	0		0	0			1
2859	LZtP2mx5Ee6dnypOhPmlog==	8	Chinese Lu, Han Era	001_Arabic.scale			Eastern;None;		Korg			1695087055	1697497913	1697497913	0		0	Core Library	1	0	0	0		0	0			1
2860	p6ioXGx7Ee6/cipOhPmlog==	8	North Indian Gamut	001_Arabic.scale			Eastern;None;		Korg			1695087055	1697498968	1697498968	0		0	Core Library	1	0	0	0		0	0			1
2861	Ef2BtGx8Ee63PCpOhPmlog==	8	Carnatic Gamut	001_Arabic.scale			Eastern;None;		Korg			1695087055	1697499112	1697499112	0		0	Core Library	1	0	0	0		0	0			1
2862	CFYNDGyzEe6h+ypOhPmlog==	8	Carlos Alpha C4=0	001_Arabic.scale			Modern;None;		Korg			1695087055	1697579635	1697579635	0		0	Core Library	1	0	0	0	"Perfect fifth divided into eleven equal steps. 128-note scale; C is at ""normal"" pitch."	0	0			1
2864	2K0Shm0QEe6YwypOhPmlog==	8	Carlos Beta C4=0	001_Arabic.scale			Modern;None;		Korg			1695087055	1697579627	1697579627	0		0	Core Library	1	0	0	0	"Perfect fifth divided into nine equal steps. 128-note scale; C is at ""normal"" pitch."	0	0			1
2865	BchEWG1CEe6tgipOhPmlog==	8	Bayati	001_Arabic.scale			Eastern;None;		Korg			1695087055	1697587508	1697587508	0		0	Core Library	1	0	0	0	Bayati maqam (aka Husayni).	0	0			1
2866	PEf0gm1DEe6w9CpOhPmlog==	8	Rast Matrix	001_Arabic.scale			Eastern;None;		Korg			1695087055	1697584867	1697584867	0		0	Core Library	1	0	0	0	Rast on white keys; Wusta-Zalzal Arijaom sequence	0	0			1
2867	Bzr+lm1EEe6T8ypOhPmlog==	8	Couperin	001_Arabic.scale			Western;None;		Korg			1695087055	1697585054	1697585054	0		0	Core Library	1	0	0	0	"""Temperament ordinaire,"" aka ""well-tempered"" modified meantone tuning, circa 1690."	0	0			1
4392	+gdOmk0VEe2oDCpOhPmloA==	16	Taste of Multi/Poly				Factory;					1665899230	1721255851	1721255851	0		0	multi/poly	0	0	0	0		0	0	Mpx		0
6538	qdIXVjy2Ee+rXfqQZq8pIA==	5	Tom Sawyer Sweep	mpx-tom sawyer-voice variation.performance			Synth;None;		Bill Barton			1721170846	1722980638	1722980638	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6539	cMaBtithEe6Org4Iu8O6PA==	5	Early Morning Bass	mpx-minimoog template.performance			Bass;Fast Synth;		Huston Singletary			1690340799	1721259477	1721259477	0		0	multi/poly	0	0	0	0	"Early 80's funk Mini bass. ""Early bird always catches the worm..."""	0	0	Mpx		1
6540	Z2UoIvxREem+3LZSNz1wLg==	5	mono/poly pwm	mono-poly pwm.performance			Lead;Bass;		Bill Barton			1678737397	1721259477	1721259477	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6541	/I4lSgYUEe6P9XDNYKrNDg==	5	Approaching Off World	mpx-minimoog template.performance			Pad;Soundscape;		Ski			1686239770	1721259477	1721259477	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6542	KI1neP6jEem50B7++jdE5w==	5	prophet sync II	prophet sync II.performance			Lead;Synth;		Bill Barton			1680673948	1721259478	1721259478	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
6543	6m2pLCE+Ee6ornDNYKrNDg==	5	AudioRate Carillon	mpx-minimoog template.performance			Bell/Mallet;Soundscape;		Ski			1689226459	1721259478	1721259478	0		0	multi/poly	0	0	0	0		0	0	Mpx		1
